Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project No
BESS Harker,CSWE 4 LIMITED,Harker 400kV Substation,,0,200,200,2031-05-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ia7,PRO-002010
BESS North Farm,CSWE 5 LIMITED,Chickerell 400kV Substation,,0,150,150,2031-11-01,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ic6,PRO-002060
BESS Swan,CSWE 3 LIMITED,Swansea North 400kV Substation,,0,200,200,2028-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ia6,PRO-002009
Bewley BESS,GPC Battery Ltd,Saltholme GSP,,0,249,249,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f6uB,PRO-003993
Bhlaraidh Extension Wind Farm,SSE GENERATION LIMITED,Bhlaraidh 132/33kV Substation,,0,100.8,100.8,2026-04-01,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iln,PRO-000383
Bhlaraidh Wind Farm,SSE GENERATION LIMITED,Bhlaraidh 132/33kV Substation,,108,0,108,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ilb,PRO-000034
Bicker Drove,CSWE 1 LIMITED,Navenby 400kV Substation,,0,400,400,2034-05-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f4nZ,PRO-003874
Bicker Fen,BEACON FEN ENERGY PARK LIMITED,Bicker Fen 400kV Substation,,0,600,600,2029-06-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iZP,PRO-001984
Bicker Fen 1 Solar,AGR SOLAR 2 LIMITED,Bicker Fen 400kV Substation,1,0,49.995,49.995,2025-05-30,Awaiting Consents,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iaO,PRO-001034-1
Bicker Fen 1 Solar,AGR SOLAR 2 LIMITED,Bicker Fen 400kV Substation,2,0,7.005,57,2035-04-01,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iaO,PRO-001034-2
Bicker Fen 2 Solar,AGR SOLAR 3 LIMITED,Bicker Fen 400kV Substation,1,0,49.995,49.995,2025-09-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itR,PRO-001046-1
Bicker Fen 2 Solar,AGR SOLAR 3 LIMITED,Bicker Fen 400kV Substation,2,0,7.005,57,2033-04-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itR,PRO-001046-2
Bicker Fen PV & BESS Sub,O&G Solar (SPV 40) Limited,Bicker Fen 400kV Substation,,0,249.9,249.9,2033-05-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wOi,PRO-002575
Biggleswade,ORRÖN ENERGY DEVELOPMENT LIMITED,Biggleswade 400kV Substation,,0,1000,1000,2032-10-31,Scoping,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000TPRK,PRO-003415
Biggleswade BESS,Central Bedfordshire Council,Biggleswade 400kV Substation,,0,57,57,2029-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iyj,PRO-002165
Biggleswade BESS,HARMONY ENERGY LIMITED,Biggleswade 400kV Substation,,0,200,200,2035-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000001Hxbq,PRO-004279
Bilbo Farm,LEL BILBO SOLAR LIMITED,Strichen GSP,1,0,25,25,2024-10-31,Scoping,Embedded,SHET,PV Array (Photo Voltaic/solar),a0l4L0000005iXh,PRO-001301-1
Bilbo Farm,LEL BILBO SOLAR LIMITED,Strichen GSP,2,0,42.1,67.1,2033-10-31,Scoping,Embedded,SHET,PV Array (Photo Voltaic/solar),a0l4L0000005iXh,PRO-001301-2
Bird Grove/Rownall,ROWNALL FARM SOLAR LIMITED,Cellarhead 400kV Substation,,0,57,57,2024-06-01,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005izq,PRO-001045
Bishops Dal Energy Park,Renewable Energy Systems Limited,Bishop Dal 132kV Substation,,0,150,150,2030-07-31,Scoping,Directly Connected,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyJ,PRO-002361
Blackcraig Wind Farm,BLACKCRAIG WIND FARM (SCOTLAND) LIMITED,Blackcraig Wind Farm,,52.9,0,52.9,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ilc,PRO-000035
Blackhillock Battery,BLACKHILLOCK FLEXPOWER LTD,Blackhillock 275kV Substation,,0,349,349,2026-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005iZ0,PRO-001970
Blacklaw,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Blacklaw Wind Farm Substation,1,118,0,118,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ild,PRO-000036-1
Blacklaw,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Blacklaw Wind Farm Substation,2,0,222,340,2029-06-15,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ild,PRO-000036-2
Blacklaw Extension,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Blacklaw Extension 132kV Substation,,60,0,60,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ilz,PRO-000037
Blackpool BESS,Conrad (Blackpool) Limited,Bispham Primary 33kV Substation,,25.3,0,25.3,,Built,Embedded,NGET,Energy Storage System,a0l8e0000010xgo,PRO-003080
BlaenCothi Energy Park,BLAENCOTHI ENERGY PARK LIMITED,Pont Abraham GSP,,0,145,145,2028-10-31,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iRa,PRO-001920
Blaen y Glyn,BANC DU ENERGY PARK LIMITED,Chirk GSP,,0,46,46,2027-02-04,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005ik1,PRO-001589
Blairgowrie BESS,BLAIRGOWRIE BESS LTD,Coupar Angus GSP,,0,200,200,2030-05-30,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e0000011xxA,PRO-003482
Blankney Solar,ACRE LANE ENERGYFARM LIMITED,Navenby 400kV Substation,1,0,400,400,2028-04-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iPH,PRO-001850-1
Blankney Solar,ACRE LANE ENERGYFARM LIMITED,Navenby 400kV Substation,2,0,400,800,2030-04-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iPH,PRO-001850-2
Blarghour Wind,BLARGHOUR WIND FARM LIMITED,Blarghour Substation,,0,73.1,73.1,2027-10-31,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005ita,PRO-000398
Blary Hill Wind Farm,BLARY HILL ENERGY LIMITED,Carradale 1 GSP,,35,0,35,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iUz,PRO-000038
Bloch Energy Park,Renewable Energy Systems Limited,REVIEW - Bloch Energy Park,,0,126,126,2031-10-31,Scoping,Directly Connected,SPT,Energy Storage System; Wind Onshore,a0l4L0000005ivP,PRO-002447
Bloxwich,BLOXWICH ENERGY STORAGE LIMITED,Bustleholm 132kV Substation,,41,0,41,,Built,Embedded,NGET,Energy Storage System,a0l4L0000005iOi,PRO-001243
BLUE PLANET SOLAR,BLUE PLANET SOLAR LIMITED,Dungeness 400kV Substation,,0,500,500,2029-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ig5,PRO-001703
Blyth BESS,SSE RENEWABLES SOLAR & BATTERY HOLDINGS LIMITED,Blyth 275kV Substation,,0,450,450,2036-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000010wl0,PRO-002817
Bodelwyddan BESS and PV,IGP SOLAR 21 LIMITED,Bodelwyddan 400kV Substation,,0,110,110,2029-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iPC,PRO-001657
Bodinglee Wind Farm,Banks Renewables (Bodinglee Wind Farm) Limited,Bodinglee Wind Farm 132kV,,0,280,280,2029-04-30,Awaiting Consents,Directly Connected,SPT,Energy Storage System; Wind Onshore,a0l4L0000005iZQ,PRO-001985
Bolney,PIVOTED POWER LLP,Bolney 400kV Substation,,0,49.9,49.9,2027-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iaR,PRO-001031
Bolney (tertiary),BOLNEY GREEN LIMITED,Bolney 400kV Substation,1,0,49.9,49.9,2024-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilr,PRO-000380-1
Bolney (tertiary),BOLNEY GREEN LIMITED,Bolney 400kV Substation,2,0,7.1,57,2025-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilr,PRO-000380-2
Bolney BESS,CSE45 LIMITED,Bolney 400kV Substation,,0,49.9,49.9,2037-09-11,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f8NW,PRO-004026
Bolney Farm,Dragon Green 2 Renewables Ltd,Bolney 400kV Substation,,0,200,200,2037-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wYE,PRO-002674
Bolney Farm 2,DRAGON GREEN 7 RENEWABLES LTD,Bolney 400kV Substation,,0,700,700,2037-11-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wdQ,PRO-002733
Bolney Grid Stability Services,WP GRID SERVICES 13 LIMITED,Bolney 400kV Substation,,0,0,0,2030-10-31,Scoping,Directly Connected,NGET,Reactive Compensation,a0l8e000000f6AL,PRO-003966
Boom Power Feckenham Generation Hub,BOOM POWER LTD,Feckenham 400kV Substation,,0,400,400,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iv8,PRO-002312
BOOM Power Llanbabo Generation,Carrog Storage Facility Limited,Wylfa 400kV Substation,,0,300,300,2026-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ihH,PRO-001540
Boom Power Seaton Hill Generation HUB,BOOM DEVELOPMENTS LTD,Cockenzie 275kV Substation,,0,300,300,2033-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000f650,PRO-003951
Borders Wind Farms,EDF ENERGY RENEWABLES LIMITED,Borders Windfarm 132kV,,0,500,500,2033-05-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005iZK,PRO-001977
Botley GEC (Ethos Green),BOTLEY GREEN ENERGY CENTRE LTD,Botley 400kV Substation,,0,800,800,2033-10-31,Awaiting Consents,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e0000010wP7,PRO-002580
Botley West - Cote Solar Power Station,SOLARFIVE LTD,Botley West 400kV Substation,,0,840,840,2026-10-30,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005ijz,PRO-001587
Bowdun (ex Cluaran Deas Ear) Offshore Wind Farm,BOWDUN OFFSHORE WIND FARM LIMITED,New Deer 2 400kV Substation,,0,1008,1008,2033-10-31,Scoping,Directly Connected,SHET,Wind Offshore,a0l4L0000005ido,PRO-002091
Bradenham - Thetford (Necton) GEC (Ethos Green),NECTON GREEN ENERGY CENTRE LTD,Necton 400kV Substation,,0,850,850,2033-10-01,Scoping,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e000000ViFJ,PRO-004346
Bradford Solar Farm,SOLARFOUR LTD,Ironbridge 400kV Substation,,0,960,960,2033-10-31,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l8e0000011yCA,PRO-003511
Bradford West 100MW,24 POWER LTD,Bradford West 275kV Substation,,0,100,100,2025-08-31,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005iQL,PRO-001874
Bradford West BESS Substation,O&G Solar (SPV 36) Limited,Bradford West 275kV Substation,,0,249,249,2036-10-26,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L000002yQWu,PRO-002544
Bradwell Energy Park,LOW CARBON SOLAR PARK 28 LIMITED,Rayleigh 400kV Substation,,0,1300,1300,2033-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar); Wind Onshore,a0l8e000000f7CI,PRO-004004
Braelangwell Wind Farm,WIND DEVELOPMENT HOLDINGS LIMITED,Shin GSP,,0,68,68,2028-02-01,Awaiting Consents,Embedded,SHET,Wind Onshore,a0l4L0000005iSO,PRO-000916
Braes of Doune,BRAES OF DOUNE WIND FARM (SCOTLAND) LIMITED,Braco West GSP,,74,0,74,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iV9,PRO-000084
Braidfield Battery Storage,BRAIDFIELD BATTERY STORAGE LIMITED,Windyhills 132kV Substation,,0,100,100,2027-09-27,Scoping,Directly Connected,SPT,Demand; Energy Storage System,a0l4L0000005iyF,PRO-002357
Braintree,ORRÖN ENERGY DEVELOPMENT LIMITED,Braintree 400kV Substation,,0,1000,1000,2032-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000TPQg,PRO-003406
Braintree,PIVOTED POWER LLP,Braintree 400kV Substation,,0,49.9,49.9,2024-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iZf,PRO-001042
Braintree (Tertiary),CSE22 LIMITED,Braintree 400kV Substation,,0,49.9,49.9,2025-07-30,Awaiting Consents,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iZe,PRO-001043
Bramford (Tertiary),PIVOTED POWER LLP,Bramford 400kV Substation,,0,57,57,2023-11-01,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iy5,PRO-001016
Bramford 2 GEC (Ethos Green),BRAMFORD 2 GREEN ENERGY CENTRE LTD,Bramford 400kV Substation,,0,57,57,2032-07-01,Awaiting Consents,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e0000010wO9,PRO-002568
Bramford BESS,CSE33 LIMITED,Bramford 400kV Substation,,0,400,400,2029-11-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005icD,PRO-002071
Bramford GEC (Ethos Green),BRAMFORD GREEN ENERGY CENTRE LTD,Bramford 400kV Substation,,0,650,650,2033-10-30,Awaiting Consents,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e000000f8Ng,PRO-004027
Bramford Greener Grid Park,STATKRAFT UK LTD,Bramford 400kV Substation,,0,0,0,2029-10-31,Scoping,Directly Connected,NGET,Reactive Compensation,a0l4L0000005ibE,PRO-002040
Bramford Tertiary,BRAMFORD GREEN LIMITED,Bramford 400kV Substation,1,0,49.9,49.9,2023-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilN,PRO-000397-1
Bramford Tertiary,BRAMFORD GREEN LIMITED,Bramford 400kV Substation,2,0,7.1,57,2024-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilN,PRO-000397-2
Bramley (tertiary),ENSO GREEN HOLDINGS LIMITED,Bramley 400kV Substation,,0,57,57,2023-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilO,PRO-000396
Bramley BESS,BRAMLEY BESS LIMITED,Bramley 400kV Substation,1,0,49.995,49.995,2025-09-29,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005igr,PRO-001104-1
Bramley BESS,BRAMLEY BESS LIMITED,Bramley 400kV Substation,2,0,7.005,57,2037-10-31,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005igr,PRO-001104-2
Bramley Farm,BRAMLEY 2 RENEWABLES LTD,Basingstoke East 400kV Substation,,0,200,200,2038-03-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wYJ,PRO-002675
Bramley Farm 2,BRAMLEY 7 RENEWABLES LTD,Bramley 400kV Substation,,0,700,700,2038-05-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wda,PRO-002735
Branxton Energy Storage Facility,EastCoastGridServices Ltd,Branxton 400kV Substation,,0,750,750,2027-12-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ida,PRO-002076
Branxton PV & BESS Station,ISLAND GREEN POWER UK LIMITED,Branxton 400kV Substation,,0,1000,1000,2028-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005itP,PRO-002122
Braybrooke,SSE DE SOLAR HOLDCO LIMITED,Market Harborough 400kV Substation,,0,600,600,2032-07-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000TPSS,PRO-003429
Braybrooke Solar and Battery Connection,Irena BESS LIMITED,Braybrooke (Network Rail) GSP,,0,500,500,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005itZ,PRO-002207
Breach Solar Farm,BURWELL 11 SOLAR LIMITED,Burwell 400kV Substation,,0,49.995,49.995,2023-11-24,Under Construction/Commissioning,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixl,PRO-001019
Breakish Windfarm,ARISE AB,Breakish 132/33kV,1,0,50,50,2029-05-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ikh,PRO-002170-1
Breakish Windfarm,ARISE AB,Breakish 132/33kV,2,0,49.8,99.8,2034-04-30,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ikh,PRO-002170-2
Bredbury,PIVOTED POWER LLP,Bredbury 275kV Substation,,0,49.9,49.9,2023-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iZg,PRO-001041
Breezy Hill Wind Farm,BROCKWELL ENERGY LIMITED,New Cumnock 132kV Substation,,0,80,80,2028-04-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005int,PRO-000475
Bridge BESS,GPC Battery Ltd,Torness GSP,,0,150,150,2031-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000f41i,PRO-003826
Bridgwater (tertiary),BRIDGWATER GREEN LIMITED,Bridgewater 400kV Substation,,0,57,57,2026-11-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilP,PRO-000375
Bridgwater 2 (tertiary) - New Conn,ENSO GREEN HOLDINGS LIMITED,Bridgewater 400kV Substation,,0,54,54,2024-10-01,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iYj,PRO-001347
Brigg,CBS ENERGY STORAGE ASSETS UK LIMITED,Keadby 400kV Substation,,99,0,99,,Built,Embedded,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iUy,PRO-000039
Brinsworth,SSE RENEWABLES SOLAR & BATTERY HOLDINGS LIMITED,Brinsworth 400kV Substation,,0,600,600,2032-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f41J,PRO-003821
Broadditch BESS,Harmony BD Ltd,Northfleet East 132kV,,0,11.58,11.58,2022-12-30,Under Construction/Commissioning,Embedded,NGET,Energy Storage System,a0l4L0000005iTb,PRO-002000
Broadshore Offshore Wind Farm,BLUEFLOAT ENERGY UK HOLDINGS LIMITED,New Deer 2 400kV Substation,,0,900,900,2033-10-31,Scoping,Directly Connected,SHET,Wind Offshore,a0l4L0000005itd,PRO-002171
Broken Cross Windfarm,BROKEN CROSS WIND FARM LIMITED,Broken Cross Windfarm,,0,48,48,2023-09-30,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ilQ,PRO-000395
Brook Farm BESS,Brook Farm Energy Storage Limited,Bramford GSP,,0,49.9,49.9,2022-09-25,Under Construction/Commissioning,Embedded,NGET,Energy Storage System,a0l4L0000005iWe,PRO-002201
Brownieleys,BROWNIELEYS RENEWABLES LLP,Fiddes GSP,,7.5,0,7.5,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iVB,PRO-000086
Brown Rig Wind Farm,SSE RENEWABLES SERVICES (UK) LIMITED,Hawick 132kV Substation,,0,114,114,2033-10-31,Scoping,Directly Connected,SPT,Wind Onshore,a0l8e000001HoYj,PRO-004083
Bryn Glas Energy Park,Bryn Glas Energy Park Limited,Pont Abraham GSP,,0,159,159,2028-10-31,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iRY,PRO-001918
Bryn Tilti,RHIWLAS ENERGY PARK LIMITED,Chirk GSP,,0,106,106,2027-02-04,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iXX,PRO-001586
Buchan 01 Offshore Wind Farm,BUCHAN OFFSHORE WIND LIMITED,Buchan 01 275/66kV Substation,,0,932,932,2033-10-31,Scoping,Directly Connected,SHET,Wind Offshore,a0l4L0000005izL,PRO-001528
Buckland Marsh Solar Park,Arise Renewable Energy UK Limited,Botley West 400kV Substation,,0,280,280,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000ewwx,PRO-003695
Builth Wells,ABEREDW ENERGY PARK LIMITED,Pont Abraham GSP,,0,133,133,2026-10-31,Scoping,Directly Connected,NGET,Wind Onshore,a0l4L0000005iUH,PRO-001564
Bulls Lodge Farm,548 UK INVESTMENT HOLDINGS LIMITED,Bulls Lodge 400kV Substation,,0,200,200,2033-04-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wYO,PRO-002676
Bulls Lodge Farm 2,548 UK INVESTMENT HOLDINGS LIMITED,Bulls Lodge 400kV Substation,,0,700,700,2033-03-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wdk,PRO-002737
Bumpers Farm BESS phase 1,Harmony BF Ltd,Amersham Main 132kV Substation,,0,49.5,49.5,2023-06-30,Scoping,Embedded,NGET,Energy Storage System,a0l4L0000005iXc,PRO-002103
Bumpers Farm BESS phase 2,Harmony BF Ltd,Amersham Main 132kV Substation,,0,49.5,49.5,2023-06-30,Consents Approved,Embedded,NGET,Energy Storage System,a0l4L0000005iXd,PRO-002104
Buntington GEC (Ethos Green),BUNTINGTON GREEN ENERGY CENTRE LTD,Cottered 440kW Substation,,0,850,850,2032-07-01,Awaiting Consents,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e0000010wOn,PRO-002576
Burbo Bank Extension Offshore Wind Farm,BURBO EXTENSION LTD,BURBO BANK EXTENSION OFFSHORE Substation,,258,0,258,,Built,Directly Connected,NGET,Wind Offshore,a0l4L0000005ilR,PRO-000394
Burbo Bank Offshore Wind Farm,ORSTED BURBO (UK) LIMITED,Birkenhead 275kV Substation,,90,0,90,,Built,Embedded,NGET,Energy Storage System; Wind Offshore,a0l4L0000005iS4,PRO-001298
Burghfield,SSE GENERATION LIMITED,Bramley 400kV Substation,,47,0,47,,Built,Embedded,NGET,Thermal,a0l4L0000005iXn,PRO-000870
Burn of Whilk Wind Farm,ENECO BURN OF WHILK LIMITED,Mybster 1 GSP,,22.5,0,22.5,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iVC,PRO-000087
Burwell,ENERGY POWER RESOURCES LIMITED,Burwell GSP,,38,0,38,,Built,Embedded,NGET,Biomass,a0l4L0000005iVD,PRO-000088
Burwell (Tertiary),PIVOTED POWER LLP,Burwell Main 400kV Substation,,0,57,57,2029-06-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ixm,PRO-001109
Burwell BESS,O&G Solar (SPV 37) Limited,Burwell Main 400kV Substation,,0,249.9,249.9,2033-06-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f4n5,PRO-003869
Burwell GEC (Ethos Green),BURWELL GREEN ENERGY CENTRE LTD,Burwell 400kV Substation,,0,480,480,2032-10-31,Scoping,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e000000f5cW,PRO-003937
Bushbury,ORRÖN ENERGY DEVELOPMENT LIMITED,Bushbury 275kV Substation,,0,1000,1000,2033-10-31,Scoping,Directly Connected,NGET,Demand; PV Array (Photo Voltaic/solar),a0l8e000000TPQv,PRO-003409
Bushbury Green Energy Centre,INNOVA RENEWABLES LIMITED,Bushbury GSP,,0,480,480,2028-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iRT,PRO-001907
Bustleholme,PIVOTED POWER LLP,Bustleholm GSP,,49.9,0,49.9,,Built,Directly Connected,NGET,Energy Storage System,a0l4L0000005iZi,PRO-001039
